timestamp,ts-auth-service-latency,ts-auth-service-workload,ts-route-service-workload,ts-price-service-memory,ts-preserve-other-service-cpu,ts-price-service-cpu,ts-travel-service-memory,ts-payment-service-memory,ts-train-service-cpu,ts-travel-service-cpu,ts-preserve-service-memory,ts-route-service-latency,ts-notification-service-memory,ts-payment-service-cpu,ts-ui-dashboard-latency,ts-route-service-cpu,ts-notification-service-cpu,ts-user-service-cpu,ts-ui-dashboard-workload,ts-order-service-memory,ts-travel-service-latency,ts-user-service-workload,ts-travel-service-workload,ts-preserve-service-cpu,ts-order-service-cpu,ts-auth-service-cpu,ts-ui-dashboard-cpu,ts-user-service-memory,ts-route-service-memory,ts-preserve-other-service-memory,ts-ui-dashboard-memory,ts-auth-service-memory,ts-train-service-memory,ts-user-service-latency
20/03/2025 15:25:43,4.6,0.166838155052226,0.9993760632365561,637392896,0.008196817356670431,0.010123748841523653,641031168,622994432,0.01066552029282779,0.01080810697702161,542812160,41.93822692151281,629486592,0.010217876631326082,45.880102040816325,0.08468498370518787,0.01029002900053891,0.01619156427221032,1.337037037037037,636321792,NaN,0.6451426471570789,0,0.0100268068020809,0.010432766648864923,0.011921293787836067,0.03137145245842363,691572736,715260928,536679765.3333334,54771712,647923712,673589248,8.55234335723886
20/03/2025 15:26:13,4.6000000000000005,0.17777777777777776,0.9675213675213674,637616128,0.010181849415922598,0.010172387506181706,641062912,623106048,0.010750328970151221,0.010766207665060293,542765056,41.763698630137,629522432,0.010076923076923764,45.755208333333336,0.06326267400726614,0.007962440247263738,0.046484098558732284,1.3074074074074076,637793280,NaN,0.6055555555555555,0,0.00991563815007725,0.01205654774265821,0.011671432386354125,0.031147121573091227,691650560,715647658.6666666,536585557.3333334,54743859.2,647849984,673269760,8.694444444444443
20/03/2025 15:26:43,4.6,0.17407407407407405,1.0017094017094015,637775872,0.010237108116026484,0.01009844309273405,640996352,623361024,0.010231083653737288,0.010625545579955728,542735360,42.35294117647058,629525504,0.010333234339115498,46.31009615384615,0.08406729404572352,0.0086572731641095,0.014159274570497557,1.3777777777777775,639019008,NaN,0.5611111111111111,0,0.009929409730481271,0.010424866514111153,0.01151744312615535,0.03171744359806267,691503104,715617280,536450048,54747136,647898453.3333334,673166950.4,7.958333333333334
20/03/2025 15:27:13,4.6,0.1259259259259259,1.0512820512820513,637822976,0.010163054718264668,0.0086496960181573,641032192,623465813.3333334,0.010612577236241788,0.01043141408450717,542738432,41.64244186046513,629230250.6666666,0.010362577665005828,46.116279069767444,0.08694398013276602,0.010049447743087797,0.014123273784044073,1.3592592592592592,639963136,NaN,0.4888888888888888,0,0.010175088591285806,0.014325414254338616,0.011730466348547276,0.03188762288348843,691363840,715558912,536262656,54725290.66666667,647867050.6666667,673219379.2,8.517857142857142
20/03/2025 15:27:43,4.6,0.1185185185185185,1.0735042735042735,637805568,0.010258430525019372,0.010092402834834613,641294336,623372970.6666667,0.010248959633787821,0.010373661943113113,542753792,41.933701657458556,629193728,0.008499056715910842,45.983796296296305,0.06020884928190307,0.010260265993595221,0.01351157313172356,1.3777777777777775,640804864,NaN,0.5111111111111111,0,0.009971826362334605,0.014947131608549205,0.011174568228451396,0.02484453895639178,691309226.6666667,715629909.3333334,536190976,54767616,647892992,673210368,8.446428571428571
20/03/2025 15:28:13,4.6,0.14814814814814814,1.0974358974358975,637977395.2,0.010194388327720306,0.010237049885267595,641123669.3333334,623390720,0.007984532728035244,0.011028558616633662,543962112,41.020710059171606,629244928,0.01002613096872941,46.29504504504505,0.08719486506819117,0.010581226662088588,0.014145238376206218,1.4444444444444446,642129920,NaN,0.4944444444444444,0,0.011253236713174885,0.010306995030853614,0.011967073170728735,0.033671499361231226,691452586.6666667,715825152,536199168,54802022.4,647902208,673402880,8.566666666666666
20/03/2025 15:28:43,4.6,0.1296296296296296,1.0735042735042735,638138368,0.008128025475335504,0.010265882001639432,640749568,623288320,0.010634176736318491,0.010442755691241527,546631680,41.850828729281766,629190656,0.010256166371108252,46.357466063348426,0.061121829592199584,0.010626576772512133,0.013836813942254408,1.3962962962962964,642268160,NaN,0.5,0,0.011421782877975031,0.010288271261809652,0.011355457254100938,0.03308053608754357,691488358.4,715930282.6666666,536165034.6666667,54814310.4,647829913.6,673403904,8.413793103448276
20/03/2025 15:29:13,4.6,0.16296296296296295,1.0170940170940168,638047573.3333334,0.010063537726234207,0.00961332603639631,640620544,623193088,0.007642919852680547,0.01049625368252637,547672064,41.54907975460124,628680704,0.0101490767689273,46.470588235294116,0.08451817215728298,0.029304933543592978,0.030384080131184057,1.333333333333333,640346521.6,NaN,0.5,0,0.0083960449363922,0.010229101246771694,0.011327479855514364,0.02094187500000544,691616768,715896832,536165376,54811306.666666664,647860224,673375573.3333333,9.384615384615385
20/03/2025 15:29:43,4.6,0.17037037037037037,1.0085470085470083,638054400,0.010231792594324798,0.009863743342007642,640583680,623194112,0.010378142050462379,0.008150138581438255,548058453.3333334,43.93465909090909,628342784,0.010206249525208145,46.90758293838863,0.08799539897461946,0.010379466805116576,0.011292928191411004,1.348148148148148,637296640,NaN,0.4555555555555555,0,0.009739367383264357,0.010422560988292275,0.011843396063285596,0.030255202682710657,692026368,715355477.3333333,536255488,54824960,648017237.3333333,673516202.6666666,8.553571428571429
20/03/2025 15:30:13,4.6000000000000005,0.12962962962962962,0.9927438958546714,637983744,0.01002894842241462,0.010112766779748868,643081011.2,623184896,0.010303771418667888,0.011561775651248957,548519936,41.75528672000547,628538026.6666666,0.01022431288771608,45.932432432432435,0.07828838538859613,0.007887453190706438,0.011560002995429327,1.322222222222222,632220330.6666667,NaN,0.6388888888888887,0,0.010015546071215386,0.010268654720508488,0.010947983936616548,0.031026973650018455,692023296,715350016,536466432,54846464,648325802.6666666,673304576,8.32857142857143
