timestamp,ts-auth-service-latency,ts-auth-service-workload,ts-route-service-workload,ts-admin-route-service-memory,ts-admin-order-service-workload,ts-price-service-memory,ts-price-service-cpu,ts-admin-order-service-memory,ts-train-service-workload,ts-travel-service-memory,ts-payment-service-memory,ts-admin-route-service-latency,ts-admin-order-service-latency,ts-train-service-cpu,ts-travel-service-cpu,ts-route-service-latency,ts-train-service-latency,ts-notification-service-latency,ts-notification-service-memory,ts-payment-service-cpu,ts-ui-dashboard-latency,ts-route-service-cpu,ts-admin-route-service-cpu,ts-admin-route-service-workload,ts-notification-service-cpu,ts-user-service-cpu,ts-ui-dashboard-workload,ts-order-service-memory,ts-price-service-workload,ts-travel-service-latency,ts-user-service-workload,ts-notification-service-workload,ts-payment-service-workload,ts-travel-service-workload,ts-payment-service-latency,ts-admin-order-service-cpu,ts-order-service-cpu,ts-auth-service-cpu,ts-ui-dashboard-cpu,ts-user-service-memory,ts-order-service-workload,ts-route-service-memory,ts-price-service-latency,ts-ui-dashboard-memory,ts-auth-service-memory,ts-order-service-latency,ts-train-service-memory,ts-user-service-latency
02/04/2025 15:17:20,NaN,0,0,666286762.6666666,0,767890773.3333333,0.009704667273464807,734344533.3333333,0,842680320,764644352,NaN,NaN,0.010576981018358071,0.010280263103276979,NaN,NaN,NaN,815321088,0.010354367885919438,NaN,0.01331781873722795,0.03868825775945216,0,0.009622446966012246,0.010126810334845077,0,801711445.3333334,0,NaN,0,0,0,0,NaN,0.010059166388385084,0.01016116911426483,0.010566236648765683,0.007180885259151964,829984768,0,848004096,NaN,74805248,870045013.3333333,NaN,790112256,NaN
02/04/2025 15:17:50,NaN,0,0,666133845.3333334,0,765416789.3333334,0.008470211124483746,734938453.3333333,0,842477568,764662784,NaN,NaN,0.010105808816889114,0.009233829006454215,NaN,NaN,NaN,815054848,0.010006292096871637,NaN,0.0131024757189489,0.008049345960328467,0,0.010212864480087248,0.010253745287050744,0,801708714.6666666,0,NaN,0,0,0,0,NaN,0.01057171148051138,0.007566903139385594,0.01068086763304041,0.007940459712768367,828289024,0,848643072,NaN,74808320,870553600,NaN,790130688,NaN
02/04/2025 15:18:20,NaN,0,0,666183680,0,762852693.3333333,0.010098215432013138,734878378.6666666,0,842461184,764522496,NaN,NaN,0.011620199633586889,0.007046698609142555,NaN,NaN,NaN,814839808,0.00975299460574654,NaN,0.012921173314890622,0.00959231025420431,0,0.009440665552814774,0.010067425598770087,0,801719637.3333334,0,NaN,0,0,0,0,NaN,0.007743726503634021,0.010473816898387665,0.01022946772067762,0.008043269804190558,828795562.6666667,0,848840704,NaN,74829824,870571212.8,NaN,791536640,NaN
02/04/2025 15:18:50,NaN,0,0,666110634.6666666,0,760460629.3333333,0.010645991965932576,734245888,0,842487125.3333333,764489728,NaN,NaN,0.012423299013177071,0.005716678543269845,NaN,NaN,NaN,814981120,0.009792184075950474,NaN,0.013091340634105421,0.01016448622535151,0,0.009695767651196471,0.009967689556211226,0,801753088,0,NaN,0,0,0,0,NaN,0.009828430315729312,0.0102201032297246,0.010178928948028734,0.008538049406490666,828653568,0,848454656,NaN,74863957.33333333,870744064,NaN,793788416,NaN
02/04/2025 15:19:20,NaN,0,0,665903104,0,760400896,0.010403397535591486,734273536,0,842523443.2,764491776,NaN,NaN,0.008019009489383343,0.010765810505326625,NaN,NaN,NaN,815085568,0.010040651455679209,NaN,0.01296017031634491,0.00945151869159366,0,0.010079355484216802,0.00993384937915058,0,801761962.6666666,0,NaN,0,0,0,0,NaN,0.010203078590804486,0.010008328140047443,0.010220050803151377,0.007807466243059453,827962709.3333333,0,848340992,NaN,74887168,870622208,NaN,795673941.3333334,NaN
02/04/2025 15:19:50,NaN,0,0,665943040,0,760230912,0.009631180034383895,734369109.3333334,0,842546176,764385280,NaN,NaN,0.010106701736295217,0.011447019068307095,NaN,NaN,NaN,816240640,0.010141600785893358,NaN,0.012742896949808574,0.009929616069486143,0,0.01139452593374246,0.010259124974281716,0,801863680,0,NaN,0,0,0,0,NaN,0.010211014191584785,0.028749195392591922,0.010646759897585767,0.007733759833018437,828139520,0,848286720,NaN,74904576,870315008,NaN,796155904,NaN
02/04/2025 15:20:20,NaN,0,0,665946112,0,760238080,0.009795612510846327,734410752,0,842518528,764334080,NaN,NaN,0.010240950653685224,0.010804738338429596,NaN,NaN,NaN,818712576,0.01020205657858525,NaN,0.012608042704596732,0.010030552640012338,0,0.011493666774956994,0.00983696640334901,0,802091008,0,NaN,0,0,0,0,NaN,0.010047788947909033,0.02490134317541236,0.010507591135910188,0.008049812054145266,828257280,0,847924224,NaN,74909013.33333333,870036480,NaN,797069312,NaN
02/04/2025 15:20:50,NaN,0,0,665947136,0,760265728,0.009947531285553821,734532608,0,842535936,764410880,NaN,NaN,0.008548705609392061,0.010371370441099332,NaN,NaN,NaN,820588544,0.009869478675110108,NaN,0.012875562150430044,0.009488724771679722,0,0.009916827802487977,0.010249547771716862,0,802357248,0,NaN,0,0,0,0,NaN,0.010491661962011161,0.0049048333332999995,0.010248462688744325,0.006743373616733967,828261376,0,847757312,NaN,74820266.66666667,869765120,NaN,797690538.6666666,NaN
02/04/2025 15:21:20,NaN,0,0,665956352,0,760242176,0.010190665426558458,734609408,0,842537984,764471978.6666666,NaN,NaN,0.009778448410465075,0.010861152019221108,NaN,NaN,NaN,821098496,0.009740369776411665,NaN,0.012609676510698461,0.008036595361046485,0,0.009393200277934903,0.010264733983708864,0,802291712,0,NaN,0,0,0,0,NaN,0.009919851142997893,0.006313020205929665,0.008727839369921532,0.007649790434414457,828225536,0,847725568,NaN,74828800,869776042.6666667,NaN,797929472,NaN
02/04/2025 15:21:50,NaN,0,0,665986389.3333334,0,760204288,0.009932538241102193,734624768,0,842522624,764565504,NaN,NaN,0.010024842432681442,0.010341078838166083,NaN,NaN,NaN,821447680,0.0062385761062727805,NaN,0.012536497253411043,0.010428887675856542,0,0.010434281664508204,0.00980636328572541,0,802294784,0,NaN,0,0,0,0,NaN,0.009976771082470522,0.008319467366848483,0.010357573053814838,0.007622282380632418,828149760,0,847759360,NaN,74897408,869776042.6666666,NaN,798005248,NaN
02/04/2025 15:22:20,9.5,0.01481481481481481,0.007407407407407406,666015744,0,760220672,0.010756270549582328,734618624,0.011851851851851848,842526720,764627626.6666667,45,NaN,0.009993403969540215,0.012065066209397745,22.75,22,NaN,821930666.6666666,0.009826248480231769,450.00000000000205,0.009159755186757369,0.00966986810091449,0.013888888888888888,0.010732017602294124,0.011616799313855597,0.3925925925925926,802295808,0,20.800000000000004,0.008888888888888887,0,0,0.017391304347826087,NaN,0.011011763686397839,0.010450940874457238,0.05672639251825032,0.008161893448303245,828046336,0.01932367149758454,847788714.6666666,NaN,75048960,870072320,16.000000000000004,798052352,NaN
02/04/2025 15:22:50,24560.000000000007,0.21333333333333332,0.23501683501683499,666034176,0.24722222222222223,760289280,0.018143725324046216,734531584,0.3081481481481481,842947242.6666666,764572672,47.39130434782609,34.999999999999986,0.023830420030426756,0.04173642786383272,56.81818181818179,9.524096385542169,2469.117647058824,822612992,0.015765725381652808,913.6363636363644,0.0712027330089207,0.012001139172049483,0.19166666666666665,0.045474162464443094,0.04500756916932077,2.8864197530864195,802417664,0.26666666666666666,22.489795918367346,0.5066666666666667,0.2777777777777778,0.2666666666666666,0.33623188405797105,9.538461538461538,0.012941127970845978,0.026497289009365974,0.3406421195789305,0.07118501908978395,828206080,0.3748792270531401,848422912,14.60000000000001,77615104,871598762.6666667,16.054545454545462,796048384,51.42857142857137
02/04/2025 15:23:20,28877.777777777774,0.3051851851851851,0.6033670033670033,665971370.6666666,0.7944444444444443,760318634.6666666,0.023129444791013386,734736384,0.7274074074074073,844058624,764724565.3333334,204.99999999999977,41.0294117647059,0.025074995379919435,0.06011997568570216,59.21052631578947,9.59338061465721,2471.3483146067415,822914252.8000001,0.031007171900362007,559.0909090909104,0.13960187189747647,0.015811542317055224,0.3833333333333333,0.05436225387374672,0.05287996111491228,5.162962962962962,802589696,0.4977777777777777,24.495391705069128,1.0488888888888885,0.5666666666666665,0.537037037037037,0.7371980676328503,9.948717948717949,0.04143868907409532,0.06449210410881119,0.45750094388695794,0.12891896990636292,829065216,0.8048309178743963,848377856,11.666666666666663,80441344,880035840,17.609375000000007,795119616,23.62209302325582
