timestamp,value
04/04/2025 11:53:47,815307776
04/04/2025 11:54:17,817939456
04/04/2025 11:54:47,817947989.3333333
04/04/2025 11:55:17,817952085.3333333
04/04/2025 11:55:47,818014208
04/04/2025 11:56:17,817476949.3333334
04/04/2025 11:56:47,816362837.3333334
04/04/2025 11:57:17,815155882.6666667
04/04/2025 11:57:47,812821504
04/04/2025 11:58:17,812870860.8
04/04/2025 11:58:47,812457984
04/04/2025 11:59:17,811974656
04/04/2025 11:59:47,812201984
04/04/2025 12:00:17,812217344
04/04/2025 12:00:47,812295509.3333334
04/04/2025 12:01:17,812337152
04/04/2025 12:01:47,812303701.3333333
04/04/2025 12:02:17,812393472
04/04/2025 12:02:47,812463104
04/04/2025 12:03:17,812686336
04/04/2025 12:03:47,812821504
04/04/2025 12:04:17,812822528
04/04/2025 12:04:47,812997632
04/04/2025 12:05:17,813223936
04/04/2025 12:05:47,813091840
04/04/2025 12:06:17,812821162.6666666
04/04/2025 12:06:47,812806144
04/04/2025 12:07:17,812829900.8
04/04/2025 12:07:47,812777472
04/04/2025 12:08:17,812718080
04/04/2025 12:08:47,812741632
04/04/2025 12:09:17,812725248
04/04/2025 12:09:47,812724224
04/04/2025 12:10:17,812677120
04/04/2025 12:10:47,812556288
04/04/2025 12:11:17,812534442.6666667
04/04/2025 12:11:47,812661760
04/04/2025 12:12:17,812696371.2
04/04/2025 12:12:47,812627558.4
04/04/2025 12:13:17,812884992
04/04/2025 12:13:47,813054634.6666667
04/04/2025 12:14:17,812744704
04/04/2025 12:14:47,812681898.6666667
04/04/2025 12:15:17,812676096
04/04/2025 12:15:47,812758357.3333333
04/04/2025 12:16:17,813045760
04/04/2025 12:16:47,813232128
04/04/2025 12:17:17,813487445.3333333
04/04/2025 12:17:47,813513386.6666667
04/04/2025 12:18:17,813686784
04/04/2025 12:18:47,813716275.2
04/04/2025 12:19:17,813724672
04/04/2025 12:19:47,813767680
04/04/2025 12:20:17,813660160
04/04/2025 12:20:47,813542400
04/04/2025 12:21:17,813544789.3333333
04/04/2025 12:21:47,813809664
04/04/2025 12:22:17,813940736
04/04/2025 12:22:47,813776896
04/04/2025 12:23:17,813673130.6666666
04/04/2025 12:23:47,813795328
04/04/2025 12:24:17,813507925.3333333
04/04/2025 12:24:47,813486080
04/04/2025 12:25:17,814829568
04/04/2025 12:25:47,816120832
04/04/2025 12:26:17,817004544
04/04/2025 12:26:47,817683114.6666667
04/04/2025 12:27:17,817743872
04/04/2025 12:27:47,817063526.4
04/04/2025 12:28:17,816835788.8
04/04/2025 12:28:47,817617920
04/04/2025 12:29:17,815056896
04/04/2025 12:29:47,811896832
04/04/2025 12:30:17,811937792
04/04/2025 12:30:47,812204032
04/04/2025 12:31:17,812576768
04/04/2025 12:31:47,812766549.3333334
04/04/2025 12:32:17,813140650.6666667
04/04/2025 12:32:47,813240320
04/04/2025 12:33:17,813217792
04/04/2025 12:33:47,813393237.3333334
04/04/2025 12:34:17,813456042.6666666
04/04/2025 12:34:47,813367296
04/04/2025 12:35:17,813408256
04/04/2025 12:35:47,814096384
04/04/2025 12:36:17,814390272
04/04/2025 12:36:47,815271936
04/04/2025 12:37:17,815559475.2
04/04/2025 12:37:47,815656960
04/04/2025 12:38:17,815739904
04/04/2025 12:38:47,815031910.4
04/04/2025 12:39:17,812959744
04/04/2025 12:39:47,812057600
04/04/2025 12:40:17,812239872
