Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745515386,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745515387,5,,Aggregated,0.000000,0.000000,18,21,23,28,30,30,30,30,30,30,30,9,4,18,19.142588251270354,10.806015110574663,30.04430199507624,1487.888888888889
1745515388,10,,Aggregated,0.000000,0.000000,18,27,30,32,42,45,45,45,45,45,45,19,8,18,21.897929107868357,7.221142994239926,44.61925395298749,1499.2105263157894
1745515389,15,,Aggregated,9.000000,4.000000,21,27,29,32,39,42,45,45,45,45,45,29,11,21,22.252565442488113,7.221142994239926,44.61925395298749,1560.4827586206898
1745515390,20,,Aggregated,8.500000,3.500000,18,23,27,29,37,39,45,45,45,45,45,42,16,18,20.392184325915185,7.221142994239926,44.61925395298749,1518.6190476190477
1745515391,20,,Aggregated,9.000000,3.666667,18,24,28,32,42,4400,4500,4800,4800,4800,4800,54,18,18,349.9746508810117,7.221142994239926,4803.295793011785,1345.4814814814815
1745515392,20,,Aggregated,9.500000,3.750000,18,24,29,32,45,4400,4500,4800,4800,4800,4800,59,19,18,385.84253151893176,7.221142994239926,4803.295793011785,1301.5084745762713
1745515393,20,,Aggregated,8.400000,3.200000,18,24,30,37,4200,4600,5100,5200,5200,5200,5200,75,20,18,613.7904458182553,7.221142994239926,5187.6703730085865,1204.5066666666667
1745515394,20,,Aggregated,9.000000,3.000000,18,24,30,37,4200,4800,5200,6700,6700,6700,6700,84,20,18,687.6321481263619,7.221142994239926,6691.511202021502,1218.5833333333333
1745515395,20,,Aggregated,8.857143,2.714286,19,25,31,39,4600,5100,5500,6700,6700,6700,6700,99,20,19,790.5890092199593,7.221142994239926,6691.511202021502,1186.030303030303
1745515396,20,,Aggregated,9.375000,2.500000,19,25,32,41,4600,5100,5500,5500,6700,6700,6700,114,20,18,827.4640646556866,7.221142994239926,6691.511202021502,1164.8333333333333
1745515397,20,,Aggregated,9.555556,2.222222,18,23,28,32,4200,4900,5500,5500,6700,6700,6700,141,20,18,672.1965843425231,7.221142994239926,6691.511202021502,1286.6950354609928
1745515398,20,,Aggregated,10.300000,2.000000,18,22,27,30,4200,4900,5200,5500,6700,6700,6700,155,20,18,613.034806034768,7.221142994239926,6691.511202021502,1342.258064516129
1745515399,20,,Aggregated,10.900000,1.600000,18,21,25,29,3800,4800,5200,5500,6700,6700,6700,175,20,18,544.8300791099401,7.221142994239926,6691.511202021502,1351.96
1745515400,20,,Aggregated,12.400000,1.300000,17,21,24,28,2200,4700,5200,5500,6700,6700,6700,192,20,17,497.9813637510233,7.221142994239926,6691.511202021502,1374.8385416666667
1745515401,20,,Aggregated,12.800000,0.900000,17,20,24,27,45,4600,5100,5500,6700,6700,6700,207,20,17,463.1181863639369,7.221142994239926,6691.511202021502,1392.9903381642512
1745515402,20,,Aggregated,13.700000,0.500000,17,20,23,26,41,4600,5100,5500,6700,6700,6700,225,20,17,427.2052678765936,7.221142994239926,6691.511202021502,1399.7022222222222
1745515403,20,,Aggregated,15.000000,0.400000,16,20,23,26,39,4500,5100,5500,6700,6700,6700,242,20,16,398.4090680995387,7.221142994239926,6691.511202021502,1426.4421487603306
1745515404,20,,Aggregated,15.600000,0.200000,16,20,23,25,38,4500,5100,5500,6700,6700,6700,260,20,16,371.9498395566076,7.221142994239926,6691.511202021502,1416.2923076923078
1745515405,20,,Aggregated,16.500000,0.100000,16,20,22,24,36,4400,5100,5500,6700,6700,6700,272,20,16,356.2684133897111,7.221142994239926,6691.511202021502,1433.6544117647059
1745515406,20,,Aggregated,16.700000,0.000000,16,20,23,25,39,4200,5100,5500,6700,6700,6700,287,20,16,345.5802736092417,7.221142994239926,6691.511202021502,1440.121951219512
1745515407,20,,Aggregated,17.400000,0.000000,16,20,23,24,37,4200,5000,5200,6700,6700,6700,302,20,16,329.2413945032271,7.221142994239926,6691.511202021502,1462.341059602649
1745515408,20,,Aggregated,16.900000,0.000000,17,20,23,24,36,4200,5000,5200,6700,6700,6700,315,20,17,316.47467045076485,7.221142994239926,6691.511202021502,1469.095238095238
1745515409,20,,Aggregated,16.900000,0.000000,17,20,23,26,37,4000,5000,5200,6700,6700,6700,334,20,17,303.53585720999155,7.221142994239926,6691.511202021502,1475.2245508982037
