Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/orderservice/order,47889,0,34,78.02784822342292,5.791901145130396,6174.977991962805,2670.0,13.300378316028764,0.0,34,72,94,110,180,280,440,540,830,5100,6200
PUT,/api/v1/orderservice/order,47990,101,81,89.56629115898744,5.650534993037581,1096.9143679831177,472.95324025838715,13.32842939685983,0.028051080831065698,81,100,110,110,200,270,380,490,800,910,1100
GET,/api/v1/routeservice/routes,47635,0,280.0,570.086967314123,10.538819013163447,8127.890998031944,1703.0,13.229834013740737,0.0,280,820,1100,1200,1500,1700,1900,2100,4500,5600,8100
GET,/api/v1/stationservice/stations,47979,0,31,75.41383910574525,5.568290129303932,5471.293970942497,1051.0,13.325374328650506,0.0,31,68,89,100,160,250,440,560,1800,3200,5500
PUT,/api/v1/stationservice/stations,48078,99,74,87.36372940390518,5.453611025586724,3277.589463861659,119.35592162735554,13.352869942534422,0.02749561388391588,74,100,110,110,200,210,380,500,800,1200,3300
POST,/api/v1/users/login,200,0,290.0,3653.658581977943,203.95810902118683,37977.30074101128,341.0,0.055546694714981575,0.0,290,340,380,400,28000,32000,37000,38000,38000,38000,38000
,Aggregated,239771,200,50,182.4254822702927,5.453611025586724,37977.30074101128,1200.7940242981845,66.59243269252924,0.055546694714981575,50,100,110,190,480,1100,1500,1700,2400,6300,38000
